"council_district";"MALE";"FEMALE";"ASIAN";"HISPANIC OR LATINO";"WHITE";"BLACK OR AFRICAN AMERICAN";"OTHER"
"1";"123049";"113877";"40974";"166592";"19318";"6752";"3290"
"2";"124257";"127993";"17744";"117971";"97072";"12782";"6681"
"3";"131775";"132577";"33141";"110814";"103686";"9207";"7504"
"4";"124959";"123367";"32928";"37515";"155459";"12334";"10090"
"5";"126680";"138166";"38781";"29453";"175359";"10552";"10701"
"6";"127458";"130538";"26463";"181361";"38188";"8331";"3653"
"7";"128586";"131440";"15956";"183520";"47020";"8866";"4664"
"8";"117043";"133174";"5181";"139640";"4407";"94985";"6004"
"9";"131385";"134566";"6341";"209919";"9589";"35971";"4131"
"10";"118347";"126585";"37439";"125393";"21205";"53158";"7737"
"11";"143248";"146132";"36528";"54783";"171850";"16030";"10189"
"12";"139478";"144912";"57131";"79985";"125922";"9402";"11950"
"13";"58818";"122615";"40974";"66731";"59153";"8724";"5851"
"14";"125997";"110877";"26223";"159493";"31944";"14002";"5212"
"15";"136634";"138851";"19864";"179431";"36803";"31772";"7615"
